Timestamp,ms_time,name,line,level,ADC,dist,flag
14:02.0,4671,logger,31,INFO,21874,9.9899,1
14:02.0,4672,logger,31,INFO,21986,10.0582,1
14:02.0,4672,logger,31,INFO,22039,10.0905,1
14:02.0,4672,logger,31,INFO,22198,10.1874,1
14:02.1,4723,logger,31,INFO,22297,10.2478,1
14:02.1,4724,logger,31,INFO,22437,10.3331,1
14:02.1,4724,logger,31,INFO,22487,10.3636,1
14:02.1,4725,logger,31,INFO,22574,10.4166,1
14:02.1,4787,logger,31,INFO,22707,10.4977,1
14:02.1,4788,logger,31,INFO,22752,10.5251,1
14:02.1,4788,logger,31,INFO,22882,10.6043,1
14:02.1,4789,logger,31,INFO,22963,10.6537,1
14:02.1,4790,logger,31,INFO,23092,10.7323,1
14:02.1,4790,logger,31,INFO,23139,10.761,1
14:02.2,4849,logger,31,INFO,23209,10.8037,1
14:02.2,4849,logger,31,INFO,23323,10.8731,1
14:02.2,4850,logger,31,INFO,23367,10.9,1
14:02.2,4850,logger,31,INFO,23480,10.9688,1
14:02.2,4850,logger,31,INFO,23538,11.0042,1
14:02.2,4851,logger,31,INFO,23645,11.0694,1
14:02.2,4905,logger,31,INFO,23694,11.0993,1
14:02.2,4905,logger,31,INFO,23753,11.1353,1
14:02.2,4906,logger,31,INFO,23863,11.2023,1
14:02.2,4906,logger,31,INFO,23914,11.2334,1
14:02.3,4975,logger,31,INFO,24042,11.3114,1
14:02.3,4976,logger,31,INFO,24106,11.3504,1
14:02.3,4976,logger,31,INFO,24167,11.3876,1
14:02.3,4976,logger,31,INFO,24295,11.4656,1
14:02.3,4977,logger,31,INFO,24361,11.5059,1
14:02.3,4978,logger,31,INFO,24495,11.5875,1
14:02.3,4978,logger,31,INFO,24566,11.6308,1
14:02.4,5026,logger,31,INFO,24699,11.7119,1
14:02.4,5026,logger,31,INFO,24760,11.7491,1
14:02.4,5027,logger,31,INFO,24831,11.7923,1
14:02.4,5027,logger,31,INFO,24965,11.874,1
14:02.4,5084,logger,31,INFO,25024,11.91,1
14:02.4,5084,logger,31,INFO,25154,11.9892,1
14:02.4,5085,logger,31,INFO,25223,12.0313,1
14:02.4,5085,logger,31,INFO,25276,12.0636,1
14:02.4,5086,logger,31,INFO,25400,12.1392,1
14:02.5,5138,logger,31,INFO,25465,12.1788,1
14:02.5,5139,logger,31,INFO,25585,12.252,1
14:02.5,5139,logger,31,INFO,25637,12.2836,1
14:02.5,5140,logger,31,INFO,25757,12.3568,1
14:02.5,5140,logger,31,INFO,25825,12.3982,1
14:02.5,5186,logger,31,INFO,25869,12.4251,1
14:02.5,5187,logger,31,INFO,25980,12.4927,1
14:02.5,5187,logger,31,INFO,26045,12.5323,1
14:02.5,5188,logger,31,INFO,26154,12.5988,1
14:02.6,5274,logger,31,INFO,26187,12.6189,1
14:02.6,5275,logger,31,INFO,26287,12.6799,1
14:02.6,5275,logger,31,INFO,26351,12.7189,1
14:02.6,5275,logger,31,INFO,26385,12.7396,1
14:02.6,5276,logger,31,INFO,26480,12.7975,1
14:02.7,5327,logger,31,INFO,26538,12.8329,1
14:02.7,5329,logger,31,INFO,26636,12.8926,1
14:02.7,5329,logger,31,INFO,26661,12.9078,1
14:02.7,5329,logger,31,INFO,26749,12.9615,1
